Date,Open,High,Low,Close,Adj Close,Volume,Stock Symbol
2023-08-10,179.479996,180.75,177.600006,177.970001,176.825165,54686900,AAPL
2023-08-11,177.320007,178.619995,176.550003,177.789993,176.884857,51988100,AAPL
2023-08-14,177.970001,179.690002,177.309998,179.460007,178.546356,43675600,AAPL
2023-08-15,178.880005,179.479996,177.050003,177.449997,176.5466,43622600,AAPL
2023-08-16,177.130005,178.539993,176.5,176.570007,175.671082,46964900,AAPL
2023-08-17,177.139999,177.509995,173.479996,174.0,173.114151,66062900,AAPL
2023-08-18,172.300003,175.100006,171.960007,174.490005,173.601669,61114200,AAPL
2023-08-21,175.070007,176.130005,173.740005,175.839996,174.944794,46311900,AAPL
2023-08-22,177.059998,177.679993,176.25,177.229996,176.327713,42084200,AAPL
2023-08-23,178.520004,181.550003,178.330002,181.119995,180.197906,52722800,AAPL
2023-08-24,180.669998,181.100006,176.009995,176.380005,175.482056,54945800,AAPL
2023-08-25,177.380005,179.149994,175.820007,178.610001,177.700684,51449600,AAPL
2023-08-28,180.089996,180.589996,178.550003,180.190002,179.272644,43820700,AAPL
2023-08-29,179.699997,184.899994,179.5,184.119995,183.182617,53003900,AAPL
2023-08-30,184.940002,187.850006,184.740005,187.649994,186.694672,60813900,AAPL
2023-08-31,187.839996,189.119995,187.479996,187.869995,186.913528,60794500,AAPL
2023-09-01,189.490005,189.919998,188.279999,189.460007,188.495468,45732600,AAPL
2023-09-05,188.279999,189.979996,187.610001,189.699997,188.734238,45280000,AAPL
2023-09-06,188.399994,188.850006,181.470001,182.910004,181.978806,81755800,AAPL
2023-09-07,175.179993,178.210007,173.539993,177.559998,176.656006,112488800,AAPL
2023-09-08,178.350006,180.240005,177.789993,178.179993,177.272858,65551300,AAPL
2023-09-11,180.070007,180.300003,177.339996,179.360001,178.446869,58953100,AAPL
2023-09-12,179.490005,180.130005,174.820007,176.300003,175.402466,90370200,AAPL
2023-09-13,176.509995,177.300003,173.979996,174.210007,173.32309,84267900,AAPL
2023-09-14,174.0,176.100006,173.580002,175.740005,174.845306,60895800,AAPL
2023-09-15,176.479996,176.5,173.820007,175.009995,174.119019,109205100,AAPL
2023-09-18,176.479996,179.380005,176.169998,177.970001,177.063934,67257600,AAPL
2023-09-19,177.520004,179.630005,177.130005,179.070007,178.158356,51826900,AAPL
2023-09-20,179.259995,179.699997,175.399994,175.490005,174.596573,58436200,AAPL
2023-09-21,174.550003,176.300003,173.860001,173.929993,173.044495,63047900,AAPL
2023-09-22,174.669998,177.080002,174.050003,174.789993,173.900116,56725400,AAPL
2023-09-25,174.199997,176.970001,174.149994,176.080002,175.183578,46172700,AAPL
2023-09-26,174.820007,175.199997,171.660004,171.960007,171.084564,64588900,AAPL
2023-09-27,172.619995,173.039993,169.050003,170.429993,169.562332,66921800,AAPL
2023-09-28,169.339996,172.029999,167.619995,170.690002,169.82103,56294400,AAPL
2023-09-29,172.020004,173.070007,170.339996,171.210007,170.338364,51814200,AAPL
2023-10-02,171.220001,174.300003,170.929993,173.75,172.865433,52164500,AAPL
2023-10-03,172.259995,173.630005,170.820007,172.399994,171.522293,49594600,AAPL
2023-10-04,171.089996,174.210007,170.970001,173.660004,172.775909,53020300,AAPL
2023-10-05,173.789993,175.449997,172.679993,174.910004,174.019516,48527900,AAPL
2023-10-06,173.800003,177.990005,173.179993,177.490005,176.586411,57224100,AAPL
2023-10-09,176.809998,179.050003,175.800003,178.990005,178.078766,42390800,AAPL
2023-10-10,178.100006,179.720001,177.949997,178.389999,177.481796,43698000,AAPL
2023-10-11,178.199997,179.850006,177.600006,179.800003,178.884644,47551100,AAPL
2023-10-12,180.070007,182.339996,179.039993,180.710007,179.790009,56743100,AAPL
2023-10-13,181.419998,181.929993,178.139999,178.850006,177.939484,51427100,AAPL
2023-10-16,176.75,179.080002,176.509995,178.720001,177.810135,52517000,AAPL
2023-10-17,176.649994,178.419998,174.800003,177.149994,176.248123,57549400,AAPL
2023-10-18,175.580002,177.580002,175.110001,175.839996,174.944794,54764400,AAPL
2023-10-19,176.039993,177.839996,175.190002,175.460007,174.566727,59302900,AAPL
2023-10-20,175.309998,175.419998,172.639999,172.880005,171.999878,64189300,AAPL
2023-10-23,170.910004,174.009995,169.929993,173.0,172.119247,55980100,AAPL
2023-10-24,173.050003,173.669998,171.449997,173.440002,172.557007,43816600,AAPL
2023-10-25,171.880005,173.059998,170.649994,171.100006,170.228912,57157000,AAPL
2023-10-26,170.369995,171.380005,165.669998,166.889999,166.040359,70625300,AAPL
2023-10-27,166.910004,168.960007,166.830002,168.220001,167.363586,58499100,AAPL
2023-10-30,169.020004,171.169998,168.869995,170.289993,169.423035,51131000,AAPL
2023-10-31,169.350006,170.899994,167.899994,170.770004,169.90062,44846000,AAPL
2023-11-01,171.0,174.229996,170.119995,173.970001,173.084305,56934900,AAPL
2023-11-02,175.520004,177.779999,175.460007,177.570007,176.666,77334800,AAPL
2023-11-03,174.240005,176.820007,173.350006,176.649994,175.750656,79763700,AAPL
2023-11-06,176.380005,179.429993,176.210007,179.229996,178.31752,63841300,AAPL
2023-11-07,179.179993,182.440002,178.970001,181.820007,180.894363,70530000,AAPL
2023-11-08,182.350006,183.449997,181.589996,182.889999,181.958908,49340300,AAPL
2023-11-09,182.960007,184.119995,181.809998,182.410004,181.481354,53763500,AAPL
2023-11-10,183.970001,186.570007,183.529999,186.399994,185.695358,66133400,AAPL
2023-11-13,185.820007,186.029999,184.210007,184.800003,184.101395,43627500,AAPL
2023-11-14,187.699997,188.110001,186.300003,187.440002,186.731415,60108400,AAPL
2023-11-15,187.850006,189.5,187.779999,188.009995,187.299271,53790500,AAPL
